TIME(2022/02/09 15:49:20.545),TIMETICK(f=10000000),FPOGX,FPOGY
2.87939,724227748820,0.41873,0.22622
2.88531,724227808470,0.44356,0.18985
2.89209,724227876197,0.44356,0.18985
2.8985,724227940030,0.43674,0.20226
2.90552,724228010512,0.43078,0.21313
2.91223,724228077536,0.42494,0.22755
2.91901,724228144937,0.41957,0.24027
2.92554,724228210359,0.41478,0.25165
2.93195,724228274763,0.41065,0.26228
2.93903,724228345261,0.40682,0.27011
2.94543,724228409437,0.40333,0.27723
2.95239,724228479045,0.40086,0.28197
2.95905,724228545577,0.39821,0.28606
2.96655,724228620380,0.37093,0.35872
2.97247,724228679980,0.36054,0.38547
2.97919,724228746751,0.35195,0.40469
2.9859,724228814015,0.34765,0.4143
2.99243,724228879128,0.344,0.42295
2.99921,724228947086,0.34353,0.42803
3.00586,724229013812,0.34319,0.43166
3.01263,724229081240,0.34196,0.43081
3.01941,724229149048,0.34271,0.42994
3.02625,724229217763,0.34332,0.42925
3.03259,724229281038,0.34003,0.42869
3.03943,724229349118,0.3379,0.42595
3.04669,724229421871,0.3361,0.42364
3.05402,724229495368,0.33398,0.42291
3.05939,724229548766,0.33121,0.42323
3.06622,724229617242,0.32879,0.4235
3.07294,724229684534,0.32742,0.4222
3.07953,724229750311,0.32798,0.42222
3.08643,724229819063,0.32848,0.42223
3.09363,724229891356,0.32676,0.42084
3.09979,724229953160,0.3254,0.41993
3.10638,724230018911,0.32416,0.41909
3.11316,724230086352,0.32411,0.41965
3.11987,724230153734,0.32368,0.41978
3.12653,724230220274,0.32328,0.41991
3.13324,724230287657,0.3353,0.34533
3.13989,724230354142,0.49314,-0.10421
3.14648,724230420031,0.54575,-0.25406
3.15338,724230488706,0.543,-0.2276
3.1604,724230559222,0.42736,0.09769
3.16705,724230625376,0.38882,0.20612
3.17419,724230696731,0.31815,0.40612
3.18091,724230763841,0.3225,0.37968
3.18695,724230824620,0.32394,0.37086
3.19495,724230904700,0.44387,0.06165
3.20135,724230968633,0.63423,-0.02654
3.20691,724231023934,0.69769,-0.05594
3.21417,724231097068,0.78214,-0.22308
3.2204,724231158757,0.64785,-0.31957
3.22681,724231223360,0.60309,-0.35173
3.23376,724231292670,0.44328,-0.13491
3.24042,724231359291,0.35234,0.16498
3.24701,724231424918,0.32203,0.26495
3.25391,724231493822,0.40788,0.14315
3.26056,724231560683,0.51246,-0.24073
3.26709,724231625857,0.54732,-0.36869
3.27393,724231694300,0.61703,-0.6246
3.28064,724231761209,0.65853,-0.52931
3.28729,724231827676,0.67236,-0.49755
3.29407,724231895551,0.57232,-0.15875
3.30066,724231961566,0.44138,0.11272
3.30737,724232028839,0.39774,0.20321
3.31384,724232093582,0.34903,0.09122
3.32062,724232161185,0.35635,-0.1871
3.32739,724232229084,0.35878,-0.27988
3.33386,724232293604,0.34466,-0.18175
3.34082,724232363254,0.32911,0.10888
3.3476,724232430836,0.32392,0.20576
3.35419,724232496722,0.29064,0.10245
3.36102,724232565205,0.37533,-0.16369
3.36774,724232632726,0.40357,-0.2524
3.37451,724232700087,0.41017,-0.16236
3.38147,724232769856,0.37614,-0.2769
3.38947,724232849753,0.3648,-0.31508
3.39532,724232908452,0.35165,-0.14517
3.40131,724232967980,0.37319,-0.22187
3.40802,724233035300,0.38755,-0.273
3.41461,724233101417,0.34728,-0.27627
3.42267,724233181900,0.34218,-0.19685
3.42957,724233250514,0.3382,-0.13509
3.4353,724233307864,0.33373,-0.08494
3.44141,724233369388,0.35915,-0.13352
3.448,724233434805,0.38034,-0.17401
3.4549,724233503743,0.37406,-0.13252
3.46155,724233570247,0.37406,-0.13252
3.4682,724233636989,0.37406,-0.13252
3.4754,724233709181,0.36826,-0.06547
3.48163,724233771221,0.36826,-0.06547
3.48834,724233838202,0.36826,-0.06547
3.49481,724233903272,0.0,0.0
3.50171,724233972073,0.0,0.0
3.50812,724234036420,0.0,0.0
3.51508,724234106020,0.0,0.0
3.52216,724234176818,0.0,0.0
3.52881,724234242930,0.0,0.0
3.53516,724234306325,0.0,0.0
